PID: 9, TP: 596, CP: 597, Estado: BLOQUEADO, NES: 7, N_CPU: 7
PID: 0, TP: 1207, CP: 1208, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 1, TP: 692, CP: 693, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 2, TP: 979, CP: 980, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 3, TP: 884, CP: 885, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 4, TP: 768, CP: 769, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 5, TP: 585, CP: 586, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 6, TP: 1018, CP: 1019, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 7, TP: 940, CP: 941, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 8, TP: 1082, CP: 1083, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 9, TP: 598, CP: 599, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 0, TP: 1269, CP: 1270, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 1, TP: 704, CP: 705, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 2, TP: 1034, CP: 1035, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 3, TP: 1079, CP: 1080, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 4, TP: 892, CP: 893, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 5, TP: 776, CP: 777, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 6, TP: 1313, CP: 1314, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 7, TP: 1236, CP: 1237, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 8, TP: 1086, CP: 1087, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 9, TP: 838, CP: 839, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 0, TP: 1303, CP: 1304, Estado: BLOQUEADO, NES: 10, N_CPU: 10
PID: 1, TP: 722, CP: 723, Estado: BLOQUEADO, NES: 10, N_CPU: 10
PID: 2, TP: 1147, CP: 1148, Estado: BLOQUEADO, NES: 10, N_CPU: 10
PID: 3, TP: 1165, CP: 1166, Estado: BLOQUEADO, NES: 10, N_CPU: 10
PID: 4, TP: 952, CP: 953, Estado: BLOQUEADO, NES: 10, N_CPU: 10
PID: 5, TP: 906, CP: 907, Estado: BLOQUEADO, NES: 10, N_CPU: 10
PID: 6, TP: 1503, CP: 1504, Estado: BLOQUEADO, NES: 10, N_CPU: 10
PID: 7, TP: 1446, CP: 1447, Estado: BLOQUEADO, NES: 10, N_CPU: 10
PID: 8, TP: 1130, CP: 1131, Estado: BLOQUEADO, NES: 10, N_CPU: 10
PID: 9, TP: 862, CP: 863, Estado: BLOQUEADO, NES: 10, N_CPU: 10
PID: 0, TP: 1481, CP: 1482, Estado: BLOQUEADO, NES: 11, N_CPU: 11
PID: 1, TP: 928, CP: 929, Estado: BLOQUEADO, NES: 11, N_CPU: 11
PID: 2, TP: 1204, CP: 1205, Estado: BLOQUEADO, NES: 11, N_CPU: 11
PID: 3, TP: 1260, CP: 1261, Estado: BLOQUEADO, NES: 11, N_CPU: 11
PID: 4, TP: 1084, CP: 1085, Estado: BLOQUEADO, NES: 11, N_CPU: 11
PID: 5, TP: 973, CP: 974, Estado: BLOQUEADO, NES: 11, N_CPU: 11
PID: 6, TP: 1598, CP: 1599, Estado: BLOQUEADO, NES: 11, N_CPU: 11
PID: 7, TP: 1476, CP: 1477, Estado: BLOQUEADO, NES: 11, N_CPU: 11
PID: 8, TP: 1191, CP: 1192, Estado: BLOQUEADO, NES: 11, N_CPU: 11
PID: 9, TP: 943, CP: 944, Estado: BLOQUEADO, NES: 11, N_CPU: 11
PID: 0, TP: 1597, CP: 1598, Estado: BLOQUEADO, NES: 12, N_CPU: 12
PID: 1, TP: 945, CP: 946, Estado: BLOQUEADO, NES: 12, N_CPU: 12
PID: 2, TP: 1463, CP: 1464, Estado: BLOQUEADO, NES: 12, N_CPU: 12
PID: 3, TP: 1398, CP: 1399, Estado: BLOQUEADO, NES: 12, N_CPU: 12
PID: 4, TP: 1224, CP: 1225, Estado: BLOQUEADO, NES: 12, N_CPU: 12
PID: 5, TP: 983, CP: 984, Estado: BLOQUEADO, NES: 12, N_CPU: 12
PID: 6, TP: 1605, CP: 1606, Estado: BLOQUEADO, NES: 12, N_CPU: 12
PID: 7, TP: 1684, CP: 1685, Estado: BLOQUEADO, NES: 12, N_CPU: 12
PID: 8, TP: 1218, CP: 1219, Estado: BLOQUEADO, NES: 12, N_CPU: 12
PID: 9, TP: 1048, CP: 1049, Estado: BLOQUEADO, NES: 12, N_CPU: 12
PID: 0, TP: 1739, CP: 1740, Estado: BLOQUEADO, NES: 13, N_CPU: 13
PID: 1, TP: 981, CP: 982, Estado: BLOQUEADO, NES: 13, N_CPU: 13
PID: 2, TP: 1658, CP: 1659, Estado: BLOQUEADO, NES: 13, N_CPU: 13
PID: 3, TP: 1479, CP: 1480, Estado: BLOQUEADO, NES: 13, N_CPU: 13
PID: 4, TP: 1275, CP: 1276, Estado: BLOQUEADO, NES: 13, N_CPU: 13
PID: 5, TP: 1217, CP: 1218, Estado: BLOQUEADO, NES: 13, N_CPU: 13
PID: 6, TP: 1685, CP: 1686, Estado: BLOQUEADO, NES: 13, N_CPU: 13
PID: 7, TP: 1763, CP: 1764, Estado: BLOQUEADO, NES: 13, N_CPU: 13
PID: 8, TP: 1283, CP: 1284, Estado: BLOQUEADO, NES: 13, N_CPU: 13
PID: 9, TP: 1154, CP: 1155, Estado: BLOQUEADO, NES: 13, N_CPU: 13
PID: 0, TP: 1907, CP: 1908, Estado: BLOQUEADO, NES: 14, N_CPU: 14
PID: 1, TP: 1126, CP: 1127, Estado: BLOQUEADO, NES: 14, N_CPU: 14
PID: 2, TP: 1667, CP: 1668, Estado: BLOQUEADO, NES: 14, N_CPU: 14
PID: 3, TP: 1556, CP: 1557, Estado: BLOQUEADO, NES: 14, N_CPU: 14
PID: 4, TP: 1276, CP: 1277, Estado: BLOQUEADO, NES: 14, N_CPU: 14
PID: 5, TP: 1304, CP: 1305, Estado: BLOQUEADO, NES: 14, N_CPU: 14
PID: 6, TP: 1707, CP: 1708, Estado: BLOQUEADO, NES: 14, N_CPU: 14
PID: 7, TP: 1888, CP: 1889, Estado: BLOQUEADO, NES: 14, N_CPU: 14
PID: 8, TP: 1331, CP: 1332, Estado: BLOQUEADO, NES: 14, N_CPU: 14
PID: 9, TP: 1293, CP: 1294, Estado: BLOQUEADO, NES: 14, N_CPU: 14
PID: 0, TP: 1909, CP: 1910, Estado: BLOQUEADO, NES: 15, N_CPU: 15
PID: 1, TP: 1260, CP: 1261, Estado: BLOQUEADO, NES: 15, N_CPU: 15
PID: 2, TP: 1699, CP: 1700, Estado: BLOQUEADO, NES: 15, N_CPU: 15
PID: 3, TP: 1628, CP: 1629, Estado: BLOQUEADO, NES: 15, N_CPU: 15
PID: 4, TP: 1330, CP: 1331, Estado: BLOQUEADO, NES: 15, N_CPU: 15
PID: 5, TP: 1431, CP: 1432, Estado: BLOQUEADO, NES: 15, N_CPU: 15
PID: 6, TP: 1741, CP: 1742, Estado: BLOQUEADO, NES: 15, N_CPU: 15
PID: 7, TP: 1960, CP: 1961, Estado: BLOQUEADO, NES: 15, N_CPU: 15
PID: 8, TP: 1332, CP: 1333, Estado: BLOQUEADO, NES: 15, N_CPU: 15
PID: 9, TP: 1334, CP: 1335, Estado: BLOQUEADO, NES: 15, N_CPU: 15
PID: 0, TP: 2113, CP: 2114, Estado: BLOQUEADO, NES: 16, N_CPU: 16
PID: 1, TP: 1454, CP: 1455, Estado: BLOQUEADO, NES: 16, N_CPU: 16
PID: 2, TP: 1811, CP: 1812, Estado: BLOQUEADO, NES: 16, N_CPU: 16
PID: 3, TP: 1782, CP: 1783, Estado: BLOQUEADO, NES: 16, N_CPU: 16
PID: 4, TP: 1425, CP: 1426, Estado: BLOQUEADO, NES: 16, N_CPU: 16
PID: 5, TP: 1548, CP: 1549, Estado: BLOQUEADO, NES: 16, N_CPU: 16
PID: 6, TP: 1755, CP: 1756, Estado: BLOQUEADO, NES: 16, N_CPU: 16
PID: 7, TP: 1963, CP: 1964, Estado: BLOQUEADO, NES: 16, N_CPU: 16
PID: 8, TP: 1681, CP: 1682, Estado: BLOQUEADO, NES: 16, N_CPU: 16
PID: 9, TP: 1480, CP: 1481, Estado: BLOQUEADO, NES: 16, N_CPU: 16
PID: 0, TP: 2178, CP: 2179, Estado: BLOQUEADO, NES: 17, N_CPU: 17
PID: 1, TP: 1515, CP: 1516, Estado: BLOQUEADO, NES: 17, N_CPU: 17
PID: 2, TP: 1828, CP: 1829, Estado: BLOQUEADO, NES: 17, N_CPU: 17
PID: 3, TP: 1820, CP: 1821, Estado: BLOQUEADO, NES: 17, N_CPU: 17
PID: 4, TP: 1453, CP: 1454, Estado: BLOQUEADO, NES: 17, N_CPU: 17
PID: 5, TP: 1555, CP: 1556, Estado: BLOQUEADO, NES: 17, N_CPU: 17
PID: 6, TP: 2000, CP: 2001, Estado: EXECUTANDO, NES: 16, N_CPU: 17
PID: 7, TP: 2044, CP: 2045, Estado: BLOQUEADO, NES: 17, N_CPU: 17
PID: 8, TP: 1704, CP: 1705, Estado: BLOQUEADO, NES: 17, N_CPU: 17
PID: 9, TP: 1743, CP: 1744, Estado: BLOQUEADO, NES: 17, N_CPU: 17
PID: 0, TP: 2231, CP: 2232, Estado: BLOQUEADO, NES: 18, N_CPU: 18
PID: 1, TP: 1708, CP: 1709, Estado: BLOQUEADO, NES: 18, N_CPU: 18
PID: 2, TP: 1867, CP: 1868, Estado: BLOQUEADO, NES: 18, N_CPU: 18
PID: 3, TP: 2270, CP: 2271, Estado: BLOQUEADO, NES: 18, N_CPU: 18
PID: 4, TP: 1593, CP: 1594, Estado: BLOQUEADO, NES: 18, N_CPU: 18
PID: 5, TP: 1665, CP: 1666, Estado: BLOQUEADO, NES: 18, N_CPU: 18
PID: 7, TP: 2111, CP: 2112, Estado: BLOQUEADO, NES: 18, N_CPU: 18
PID: 8, TP: 1776, CP: 1777, Estado: BLOQUEADO, NES: 18, N_CPU: 18
PID: 9, TP: 1767, CP: 1768, Estado: BLOQUEADO, NES: 18, N_CPU: 18
PID: 0, TP: 2258, CP: 2259, Estado: BLOQUEADO, NES: 19, N_CPU: 19
PID: 1, TP: 2146, CP: 2147, Estado: BLOQUEADO, NES: 19, N_CPU: 19
PID: 2, TP: 1977, CP: 1978, Estado: BLOQUEADO, NES: 19, N_CPU: 19
PID: 3, TP: 2356, CP: 2357, Estado: BLOQUEADO, NES: 19, N_CPU: 19
PID: 4, TP: 1701, CP: 1702, Estado: BLOQUEADO, NES: 19, N_CPU: 19
PID: 5, TP: 1696, CP: 1697, Estado: BLOQUEADO, NES: 19, N_CPU: 19
PID: 7, TP: 2349, CP: 2350, Estado: BLOQUEADO, NES: 19, N_CPU: 19
PID: 8, TP: 1836, CP: 1837, Estado: BLOQUEADO, NES: 19, N_CPU: 19
PID: 9, TP: 1849, CP: 1850, Estado: BLOQUEADO, NES: 19, N_CPU: 19
PID: 0, TP: 2336, CP: 2337, Estado: BLOQUEADO, NES: 20, N_CPU: 20
PID: 1, TP: 2304, CP: 2305, Estado: BLOQUEADO, NES: 20, N_CPU: 20
